FMID,MarketName,Street,City,County,State,zip,x,y,Location,updateTime
1009074,Weare Farmers Market (Summer),"1 E Rd, Center Park",Weare,Hillsborough,New Hampshire,03281,-71.7294144,43.094461,Local government building grounds,2015-04-05T09:26:31Z
1000452,Pinckneyville Farmers Market,1 E Water St.,Pinckneyville,Perry,Illinois,62274,-89.3941,38.0747,,2009-01-01T00:00:00Z
1005480,Skaneateles Farmers Market,1 East Austin Street,Skaneateles,Onondaga,New York,13152,-76.43034,42.95094,,2017-04-07T08:12:22Z
1011957,High Desert Farmers Market,1 Elks Lane,Sierra Vista,Cochise,Arizona,85635,-110.303322,31.552031,,2016-01-07T02:11:19Z
1011656,Ferry Plaza Farmers Market,1 Ferry Building,San Francisco,San Francisco,California,94111,-122.3934111,37.7955805,,2015-05-08T03:04:06Z
1009072,Laguna Vista Farmers Market,1 Golf House Road,Laguna Vista,Cameron,Texas,78578,-97.309153,26.112261,Private business parking lot,2014-07-02T04:55:37Z
1006637,North Providence Farmers Market,1 Governor Notte Parkway off 1675 Douglas Avenue,North Providence,Providence,Rhode Island,02904,-71.46218,41.86999,Local government building grounds,2013-12-06T01:48:56Z
1006042,Grafton Farmers Market,1 Grafton Common,Grafton,Worcester,Massachusetts,01519,-71.685374,42.206229,,2018-03-06T04:23:20Z
1007332,West Stockbridge Farmers Market,"1 Harris Street, Merritt Green",West Stockbridge,Berkshire,Massachusetts,01266,-73.368445,42.333524,,2016-11-07T04:56:49Z
1003194,St. John's Church Farmers Market,1 Hudson Street,New York City,Westchester,New York,10701,-73.898807,40.933746,"Faith-based institution (e.g., church, mosque, synagogue, temple)",2014-06-07T10:50:54Z
1011387,College of the Ozarks Farmers' Market,1 Industrial Drive,Point Lookout,Taney,Missouri,65726,-93.041,36.6546965,,2015-04-09T10:37:26Z
1008090,Irvine Regional Park Certified Farmers' Market,1 Irvine Park Road,Orange,Orange,California,92862,-117.7587735,33.7987107,,2015-08-04T12:39:56Z
1012386,Braintree Farmers Market,1 JFK Memorial Dr.,Braintree,Norfolk,Massachusetts,02184,-71.004909,42.206476,,2016-10-07T02:59:28Z
1003439,Gettysburg Farmers' Market,1 Lincoln Square,Gettysburg,Adams,Pennsylvania,17325,-77.2309,39.8312,,Apr 30 2010 12:01PM
1010876,Clinton Farmers' Market,1 New Street,Clinton,Hunterdon,New Jersey,08809,-74.905764,40.638373,,2015-02-03T05:26:29Z
1005004,Carbondale Farmers Market,1 North Main Street,Carbondale,Lackawanna,Pennsylvania,18407,-75.502489,41.572266,Local government building grounds,2013-03-05T04:40:08Z
1006812,Farmers' Market at Mill Park,1 Northern Ave,Augusta,Kennebec,Maine,04330,-69.77302,44.321758,Local government building grounds,2016-07-03T04:42:12Z
1012209,Wolcott Area Farmers Market,1 Northup Park,Wolcott,Wayne,New York,NY,-76.815495,43.220144,,2016-02-07T09:15:51Z
1012083,Farmers' Market at Harvard University,1 Oxford St,Cambridge,Middlesex,Massachusetts,02138,-71.1167153,42.3764326,,2018-04-06T04:40:43Z
1003469,Acton-Boxborough Farmers Market,1 Pearl St,Acton,Middlesex,Massachusetts,01720,-71.47415,42.47518,Closed-off public street,2013-12-05T01:08:35Z
1003507,Willoughby Outdoor Market,1 Public Square,Willoughby,Lake,Ohio,44094,-81.4059,41.6393,,May 25 2010  9:18AM
1011308,Cromwell Farmers’ Market,1 River Rd,Cromwell,Middlesex,Connecticut,06416,-72.6456367,41.5849274,,2015-08-07T07:24:19Z
1010159,Fort Thomas Farmers' Market - Warden & Associates Realty,1 S. Fort Thomas Avenue,Fort Thomas,Campbell,Kentucky,41075,-84.44859,39.078481,Private business parking lot,2015-07-05T10:47:26Z
1008889,REC Mobile Farmers Market - YWCA of Central MA,1 Salem Square,Worcester,Worcester,Massachusetts,01608,-71.8002647,42.260919,,2017-01-07T12:40:48Z
1003586,Castine Farmers' Market,1 School St.,Castine,Hancock,Maine,04420,-68.7983,44.3903,,2009-01-01T00:00:00Z
1009981,Pocahontas County Farmers Market,1 Snowshoe Drive,Slatyfork,Pocahontas,West Virginia,26291,-80.0643019,38.4182262,Local government building grounds,2015-08-04T05:01:17Z
1001949,Crescent City Farmers Market,1 South Summit Street,Crescent City,Putnam,Florida,32112,-81.509943,29.429825,Other,2013-11-05T09:04:09Z
1012212,Weiser Farmer's Market,1 State Street,Weiser,Washington,Idaho,83672,-116.97113,44.244083,,2016-03-07T10:16:48Z
1006422,York Gateway Summer Farmers' Market,1 Stonewall Lane,York,York,Maine,03909,-70.6585,43.1538,,2016-03-04T10:56:05Z
1012654,Carefree Farmers Market,1 Sundial Circle,Carefree,Maricopa,Arizona,85377,-111.9217879,33.8246683,,2017-03-07T01:33:36Z
1008905,Asheville City Market - South,1 Town Square Blvd,Asheville,Buncombe,North Carolina,28803,-82.554646,35.486275,,2016-06-07T07:39:11Z
1006067,Taylor Farmers' Market,1 Town Square Lane,Taylor,Lafayette,Mississippi,38673,-89.5884,34.2726,,May 14 2010  9:14AM
1011713,Milford Winter Market,"1 Union Square, Town Hall, 3rd Floor Auditorium",Milford,Hillsborough,New Hampshire,03055,-71.6489836,42.8353619,,2016-07-10T09:30:22Z
1005759,Heart of the City Farmers' Market,1 United Nations Plaza,San Francisco,San Francisco,California,94102,-122.413932,37.779968,Other,2014-06-04T10:55:16Z
1006252,North Asheville Tailgate Market,1 University Heights,Asheville,Buncombe,North Carolina,28804,-82.5664,35.6149,,2017-01-03T07:55:12Z
1011596,Putnam Farmers Market,1 Valley Way,Hurricane,Putnam,West Virginia,25526,-81.99554,38.441892,,2017-07-07T03:16:54Z
1006508,Winter Sun Farms Indoor Winter Market,1 Veteran Drive,New Paltz,Ulster,New York,12561,-74.081059,41.756732,Local government building grounds,2012-05-06T10:09:12Z
1000495,New Lenox Farmers Market,1 Veterans Parkway,New Lenox,Will,Illinois,60451,-87.9799,41.5142,Local government building grounds,2013-11-07T03:07:26Z
1006639,Sandhills Farmers Green Market,1 Village Green Rd West,Pinehurst,Moore,North Carolina,28374,-79.468467,35.194695,Other,2013-12-06T02:36:29Z
1004175,Oakmont Farmers Market,1 W Eagle Road,Havertown,Delaware,Pennsylvania,19083,-75.310837,39.987936,,2015-03-09T06:21:39Z
1004300,Augusta Farmers' Market at Mill Park,1 Water St. Mill Park,Augusta,Kennebec,Maine,04330,-69.772623,44.321617,,2016-07-03T04:58:23Z
1001648,Forsyth Farmers' Market,1 West Park Avenue,Savannah,Chatham,Georgia,31401,-81.09717,32.06498,,2016-08-07T12:11:29Z
1003541,Hollywood Market @ Young Circle,1 Young Circle,Hollywood,Broward,Florida,33022,-80.1192,25.9926,,Jun  1 2010  2:44PM
1001664,Kennedy Plaza Farmers Market,1 w. Chester Street,Long Beach,Nassau,New York,11561,-73.6659437,40.5894142,Local government building grounds,2013-05-05T04:10:50Z
1002030,KC Organics and Natural Market,1/4 mile East of Holmes Road on Red Bridge Road,Kansas City,Jackson,Missouri,64114,-94.575908,38.924954,,2016-07-03T03:22:54Z
1004998,Towson Farmers' Market,10 Alleghany Avenue,Towson,Baltimore,Maryland,21204,-76.6032656,39.401715,Closed-off public street,2014-01-04T12:16:10Z
1004174,Boylston Farmers Market,10 Church Street,Boylston,Worcester,Massachusetts,01505,-71.7342857,42.3529735,,2016-11-07T10:39:18Z
1002025,Deerfield Farmer's Market,10 Church Street,Deerfield,Rockingham,New Hampshire,03037,-71.243012,43.13333,Local government building grounds,2015-03-06T01:49:18Z
1008568,Brick District Farmers' Market,10 East 5th Street,Fulton,Callaway,Missouri,65251,-91.947877,38.84736,Closed-off public street,2015-02-06T02:39:05Z
1002820,Imperial Beach Certified Farmers Market,10 Evergreen Avenue,Imperial Beach,San Diego,California,91932,-117.131973,32.579555,,2017-04-07T09:05:13Z
1007745,Fresh Friday Farmers Market sponsored by Kaiser Permanente,10 Hopkins Plaza,Baltimore,Baltimore City,Maryland,21201,-76.8194,39.0641,Healthcare Institution,2011-09-08T11:38:51Z
1000194,Riverside Farmers' Market,10 Pine Ave.,Riverside,Cook,Illinois,60546,-87.8201027,41.8277856,,2018-03-06T01:53:55Z
1012679,Bensenville French Market,10 S Center street,Bensenville,DuPage,Illinois,60105,-87.941926,41.95608,,2017-04-07T05:11:01Z
1003908,Danville Chamber of Commerce Farmer's Market,10 S Jefferson St.,Danville,Hendricks,Indiana,46122,-86.5250684,39.7606302,,2016-07-03T02:28:52Z
1011117,Kittery Community Market,10 Shapleigh Road,Kittery,York,Maine,03904,-70.736542,43.090021,,2018-03-06T01:06:11Z
1007712,Shillington Farmers market,10 South Summit Avenue,Shillington,Berks,Pennsylvania,19607,-75.9538,40.3082,,2009-01-01T00:00:00Z
1012609,Produce in the Park,10 West 7th Street,Atlantic,Cass,Iowa,50022,-95.013901,41.404685,,2017-02-07T03:47:56Z
1000922,King City Certified Farmers Market,100 & 200 Block of Broadway St.,King City,Monterey,California,93930,-121.123753,36.214155,Closed-off public street,2014-06-04T12:44:55Z
1005859,Valley Junction Farmers Market,100 & 200 blocks on 5th Street,West Des Moines,Polk,Iowa,50265,-93.708959,41.570412,,2018-03-06T02:10:59Z
1007230,Hayfield Farmer Market,100 2nd Street NE,Hayfield,Dodge,Minnesota,55940,-92.846081,43.892442,Private business parking lot,2014-02-04T02:46:09Z
1009080,San Francisco Alemany Farmers Market,100 Alemany Boulevard,San Francisco,San Francisco,California,94110,-122.4085979,37.7373447,,2017-03-07T05:33:49Z
1005441,South Wedge Farmers Market,100 Alexander St.,Rochester,Monroe,New York,14620,-77.602433,43.145982,Private business parking lot,2012-04-06T03:52:57Z
1007589,Downtown Cumberland,100 Baltimore Street,Cumberland,Allegany,Maryland,21502,-76.8194,39.0641,Private business parking lot,2011-09-08T10:41:04Z
1007000,Wharton County Farmers Market,100 Block South Houston Street,Wharton,Wharton,Texas,77488,-96.1012,29.3111,,2009-01-01T00:00:00Z
1009970,"Janesville Farmers Market, Inc.",100 Block of North Main Street,Janesville,Rock,Wisconsin,53545,-89.023327,42.683703,,2018-04-06T08:34:17Z
1008418,Glenn County Certified Farmers' Market - Willows,100 Block of North Tehama,Willows,Glenn,California,95988,-122.1939143,39.5206168,Local government building grounds,2014-02-07T09:24:18Z
1008134,Norwich Downtown Farmers Market,100 Chelsea Harbor Drive,Norwich,New London,Connecticut,06360,-72.07872,41.522996,,2018-04-06T08:56:10Z
1011670,Amsterdam Saturday Farmers/Crafters Market,100 Church Street,Amsterdam,Montgomery,New York,12010,-74.1849829,42.939594,,2017-10-07T04:34:07Z
1011903,Clover Leaf Marketplace,100 Clover Leaf Loop,Sutherlin,Douglas,Oregon,97479,-123.3422923,43.3872218,,2018-03-04T06:21:41Z
1000431,Appleton Downtown Farm Market,100 College Avenue,Appleton,Outagamie,Wisconsin,54911,-88.40703,44.26201,,2018-05-08T04:41:20Z
1000432,Downtown Appleton Indoor Winter Farm Market,"100 College Avenue, City Center Plaza",Appleton,Outagamie,Wisconsin,54911,-88.4060597,44.2624663,,2018-05-08T04:43:21Z
1004884,Downtown Gaylord Farmers Market,100 Court Street,Gaylord,Otsego,Michigan,49735,-84.6758757,45.0273917,,2016-08-03T08:20:34Z
1002869,Canton Farmers Market,100 Depot Drive,Canton,Madison,Mississippi,39046,-90.035727,32.613767,Local government building grounds,2014-12-06T04:44:55Z
1002080,Guadalupe Valley Gardener's Market,100 E Donegan,Seguin,Guadalupe,Texas,78155,-97.9637,29.5679,Local government building grounds,2015-04-06T08:12:06Z
1011946,Daytona Beach Downtown Farmers' Market,100 E Magnolia Ave,Daytona Beach,Volusia,Florida,32114,-81.016582,29.21078,,2016-10-05T03:17:33Z
1006111,Middleville Farmers Market,100 E Main St,Middleville,Barry,Michigan,49333,-85.4647,42.7112,,May  5 2010  4:20PM
1005461,Grant County Farmer's Market,100 E Third St,Marion,Grant,Indiana,46952,-85.659113,40.558515,Local government building grounds,2014-07-06T11:05:00Z
1000171,Downtown Valdosta Farm Days,100 E. Central Ave,Valdosta,Lowndes,Georgia,31601,-83.279103,30.832295,Local government building grounds,2014-06-06T11:02:41Z
1001883,Davis County Farmers' Market,100 E. Jefferson St.,Bloomfield,Davis,Iowa,52537,-92.414246,40.751572,Other,2014-07-06T03:31:03Z
1004751,Redlands Farmers Market,100 E. Redlands Boulevard,Redlands,San Bernardino,California,92373,-117.1814349,34.057234,Other,2015-01-05T10:37:09Z
1001545,Ocala Farm Market,100 E. Silver Springs Blvd,Ocala,Marion,Florida,34470,-82.135651,29.186635,Local government building grounds,2015-06-03T02:47:06Z
1000144,Williamson Farmers Market,100 East 3rd Ave.,Williamson,Mingo,West Virginia,25661,-82.276762,37.672436,Private business parking lot,2014-06-05T11:38:33Z
1007360,High Desert Growers' Farmers' Market,100 East Main,Price,Carbon,Utah,84501,-110.809,39.5998,Local government building grounds,2014-08-04T01:13:24Z
1010107,Cambridge Open Air Market,100 East Main Street,Cambridge,Dane,Wisconsin,53523,-89.01634,43.004004,,2018-05-06T04:28:48Z
1008798,Edible Saturdays Farmers Market,100 Green Meadows Drive,Lewis Center,Delaware,Ohio,43035,-83.017262,40.153628,Private business parking lot,2013-01-07T12:30:12Z
1008550,Farmers' Market of Laclede County,100 Hospital Drive,Lebanon,Laclede,Missouri,65536,-92.635831,37.681434,Private business parking lot,2015-02-06T12:07:32Z
1004522,San Antonio Farmers Market Olmos Basin,100 Jackson Keller,San Antonio,Bexar,Texas,78216,-98.4947323,29.4943094,Local government building grounds,2015-08-03T10:42:43Z
1001856,Ottawa Area Chamber of Commerce Farmers Market,100 Jackson Street,Ottawa,La Salle,Illinois,61350,-88.8421,41.3492,,Apr 27 2010  2:18PM
1005884,Woodstock Summer Farmers Market,100 Johnson Street,Woodstock,McHenry,Illinois,60098,-88.44768,42.314782,,2018-05-06T08:39:42Z
1000801,Johnson Farmers Market,100 Main Street,Johnson,Lamoille,Vermont,05656,-72.6783,44.6348,"Faith-based institution (e.g., church, mosque, synagogue, temple)",2011-04-04T04:15:55Z
1010276,Mount Vernon Farmers Market,100 Main Street,Mount Vernon,Franklin,Texas,75457,-95.2214646,33.1885572,Closed-off public street,2014-02-06T04:04:16Z
1008772,Lafayette County Farmers' Market - Odessa,100 Main Street,Odessa,Lafayette,Missouri,64076,-93.95197,39.000948,Private business parking lot,2015-04-06T01:58:55Z
1003231,Red Bluff Saturday Farmers Market,100 Main Street,Red Bluff,Tehama,California,96080,-122.23,40.1721,,2009-01-01T00:00:00Z
1000334,Manteca Certified Farmers Market,100 Manteca Avenue,Manteca,San Joaquin,California,95337,-121.2198502,37.7977403,Closed-off public street,2014-12-05T02:07:56Z
1009055,Spectrum Health Medical Center Farmer's Market,100 Michigan Street NE,Grand Rapids,Kent,Michigan,49503,-85.666489,42.968813,,2014-03-03T01:31:25Z
1001914,Gadsden Farmers Market,100 Moragne Ave.  Moragne Park,Gadsden,Etowah,Alabama,35902,-86.004,34.0029,,Apr 26 2010  4:29PM
1006660,Lake Mary Farmers' Market,100 N 4th Street,Lake Mary,Seminole,Florida,32746,-81.323783,28.756994,Local government building grounds,2014-07-05T12:32:55Z
1012718,Bentonville Farmers Market - Saturday,100 N Main St,Bentonville,Benton,Arkansas,72712,-94.208816,36.3723485,,2017-09-07T05:47:03Z
1012666,Corpus Christi Downtown Farmers' Market,100 N Shoreline Blvd,Corpus Christi,Nueces,Texas,78401,-97.392539,27.791933,,2017-03-07T04:40:51Z
1012071,Ennis Farmers Market,100 N. Dallas Street,Ennis,Ellis,Texas,75119,-96.628182,32.327437,,2018-04-06T02:29:00Z
1009625,Pasadena City Hall Wednesdays (Summer Evenings),100 N. Garfield Ave.,Pasadena,Los Angeles,California,91101,-118.144119,34.14766,Closed-off public street,2014-12-08T12:26:19Z
1009050,Henderson County Tailgate Market,100 N. King Street,Henderson,Shiawassee,Michigan,48841,-84.265438,43.049491,,2014-07-02T10:15:34Z
1011963,Wauconda Farmers Market,100 N. Main St.,Wauconda,Lake,Illinois,60084,-88.141172,42.259988,,2017-05-05T01:55:19Z
1003508,Wildwood Growers' Market,100 N. Main Street,Wildwood,Sumter,Florida,34785,-82.040785,28.854269,Local government building grounds,2013-04-05T11:38:59Z
1000628,Macungie Farmers Market,100 N. Walnut Street,Macungie,Lehigh,Pennsylvania,18062,-75.549502,40.515137,Other,2015-02-03T11:35:25Z
1003719,Pompano Beach Green Market,100 N.E. First Street,Pompano Beach,Broward,Florida,33061,-80.1243,26.2324,,2011-01-01T00:00:00Z
1004603,Elkhart Community Farmer's Market,100 North Elkhart Ave.,Elkhart,Elkhart,Indiana,46516,-85.9685,41.6901,Local government building grounds,2013-03-04T12:44:42Z
1005858,Lake Mills Farmers' Market,100 North Main Street - Commons Park,Lake Mills,Jefferson,Wisconsin,53551,-88.907965,43.074024,Other,2013-05-05T03:27:27Z
1001629,Rockford City Market,100 North Water Street,Rockford,Winnebago,Illinois,61101,-89.0891,42.2714,Closed-off public street,2012-06-05T03:55:43Z
1006994,Perry County FARMERS' MARKET,100 PUBLIC SQ.,Somerset,Perry,Ohio,43783,-82.299305,39.807259,Local government building grounds,2015-01-03T04:47:44Z
1011595,Creekside Park Farmers Market,100 Park Drive,Archdale,Randolph,North Carolina,27263,-79.936471,35.891603,,2017-06-07T06:28:04Z
1010560,Sioux City Farmers Market,100 Pearl Street,Sioux City,Woodbury,Iowa,51101,-96.408445,42.490552,,2018-05-06T12:51:12Z
1006132,Village of Denmark Farmers Market,100 Railroad Avenue,Denmark,Brown,Wisconsin,54208,-87.829,44.3492,,Apr 16 2010 10:03AM
1005803,Stanly County Farmers Market,100 Railroad St,Albemarle,Stanly,North Carolina,28001,-80.20278,35.35027,Other,2014-05-06T05:48:37Z
1012236,Ypsilanti Farmers Market - Depot Town,100 Rice St,Ypsilanti,Washtenaw,Michigan,48197,-83.610492,42.246295,,2016-05-07T12:05:38Z
1011747,Delta Regional Mule Train Market & Museum,100 Roger Road,Marks,Quitman,Mississippi,38646,-90.2700349,34.2477182,,2016-04-12T11:45:22Z
1006290,Charles Town Farmers Market,100 S Samuel St,Charles Town,Jefferson,West Virginia,25414,-77.858605,39.28904,Closed-off public street,2014-01-04T08:35:40Z
1012188,Santa Cruz River Farmers' Market,100 S. Avenida del Convento,Tucson,Pima,Arizona,85745,-110.985666,32.219909,,2016-01-07T02:14:15Z
1008982,Clinton Area Farmers and Artisans Market,"100 S. Center Street, Mr. Lincoln's Square, Downtown Clinton",Clinton,De Witt,Illinois,61727,-88.960591,40.152703,Other,2016-07-03T02:59:25Z
1007588,Denton St. Luke's Farmers' Market,100 S. Fifth Avenue,Denton,Caroline,Maryland,21629,-75.8304,38.8843,"Faith-based institution (e.g., church, mosque, synagogue, temple)",2011-08-08T11:39:15Z
1004793,First Street Market,100 S. First Street,Raton,Colfax,New Mexico,87440,-104.4382281,36.9020482,Closed-off public street,2015-08-05T03:16:55Z
1004613,San Marcos/New Braunfels Farmers Market Association,100 San Antonio st,San Marcos,Hays,Texas,78666,-97.940672,29.882251,Closed-off public street,2013-12-06T02:07:50Z
1003582,El Reno Farmers Market,100 South Choctaw Ave.,El Reno,Canadian,Oklahoma,73036,-97.9549,35.5331,Private business parking lot,2015-03-06T04:24:58Z
1005996,Willits CFM,100 State St,Willits,Mendocino,California,95490,-123.359,39.4129,,Apr 17 2010 11:00AM
1001802,Westmoreland Winter Farmers Market,100 Station Rd.,Westmoreland,Oneida,New York,13490,-75.399367,43.116356,Other,2016-07-03T08:10:04Z
1003952,Glade Spring Farmers Market,100 Town Square St,Glade Spring,Washington,Virginia,24340,-81.771026,36.790892,Local government building grounds,2015-10-04T01:03:14Z
1003891,Nevada City Farmers Market,100 Union Street,Nevada City,Nevada,California,95959,-121.017194,39.26248,Closed-off public street,2012-08-05T05:12:30Z
1005402,Uptown Normal Trailside Farmers Market,100 W North St,Normal,McLean,Illinois,61761,-88.9844,40.5095,,2009-01-01T00:00:00Z
1007426,La Grange Farmers' Market & Artisans,100 W. Main Street,La Grange,Oldham,Kentucky,40031,-85.3796,38.4076,,2018-03-06T02:06:21Z
1005345,Lena Farmers Market,100 W. Main Street,Lena,Stephenson,Illinois,61032,-89.8237208,42.3779037,,2017-07-03T02:12:29Z
1002431,Monroe County Farmers Market-Waterloo IL,100 W. Mill St.,Waterloo,Randolph,Illinois,62298,-90.2048,38.4403,,2015-06-06T02:18:32Z
1012019,Charlottesville City Market,100 Water Street,Charlottesville,Albemarle,Virginia,22902,-78.481654,38.029581,,2017-10-06T03:45:09Z
1003275,Independence Farmers Market,100 West First Street,Independence,Buchanan,Iowa,50644,-91.8950212,42.4687237,Other,2013-12-06T12:20:07Z
1006755,El Pueblo Farmers' Market,100 West Irvington Road,Tucson,Pima,Arizona,85714,-110.9691,32.16326,Healthcare Institution,2013-02-05T03:03:27Z
1000387,Vineyard Farmers Market,100 West Shaw,Fresno,Fresno,California,93704,-119.791414,36.809342,,2017-03-07T07:02:11Z
1008268,Moab Farmers' Market,100 West and Park Drive,Moab,Grand,Utah,84532,-109.5527258,38.5774347,Local government building grounds,2015-10-04T12:16:44Z
1008752,Vine Grove Farmers Market,100 West main Street,Vine Grove,Hardin,Kentucky,40175,-85.981328,37.810193,Local government building grounds,2015-04-06T12:16:43Z
1005378,BFR/Oyate Teca Farmers Market,100 Youth Center Drive,Kyle,Shannon,South Dakota,57752,-102.179396,43.428739,Other,2015-11-05T01:24:14Z
1001281,Mason Area Farmers Market,100 block East Maple at Jefferson (in street),Mason,Ingham,Michigan,48854,-84.4426,42.580168,Closed-off public street,2014-01-04T04:42:31Z
1000560,Klamath Falls Farmers Market Assoc. Inc.,100 block S 9th st.,Klamath Falls,Klamath,Oregon,97601,-121.779885,42.226484,,2016-10-08T12:53:34Z
1004606,"Fredericksburg Farmers Market, Fredericksburg TX",100 block West Main Street,Fredericksburg,Gillespie,Texas,78624,-98.873134,30.27608,Local government building grounds,2014-02-05T04:20:34Z
1000733,Rome Farmers Market,100 block of East Dominick Street,Rome,Oneida,New York,13440,-75.458,43.2111,,2009-01-01T00:00:00Z
1001783,Henry County Farmers Market,100 block of S Main Street,New Castle,Henry,Indiana,47632,-85.355,39.9705,,Apr 26 2010  8:02AM
1012789,Charles Town Farmers Market,100 block of South Samuel Street,Charles Town,Jefferson,West Virginia,25414,-77.858224,39.288865,,2017-07-08T03:29:55Z
1000974,Charlotte DDA Farmers Market,100 block of West Harris St,Charlotte,Eaton,Michigan,48813,-84.836318,42.565077,Local government building grounds,2016-07-03T07:45:21Z
1000361,State Center Farmers Market,100 block of West Main Street,State Center,Marshall,Iowa,50247,-93.164577,42.016469,,2017-03-03T01:27:43Z
1012262,Happy Valley Farmers Market,100 east Main St.,American Fork,Utah,Utah,84058,-111.7959181,40.376769,,2016-05-07T08:19:25Z
1008830,Bramwell Farmers' Market,100 simmons ave,Bramwell,Mercer,West Virginia,24715,-81.313467,37.325145,,2016-08-03T11:40:47Z
1005157,Moon Farmers Market,1000 Beaver Grade Road,Moon Township,Allegheny,Pennsylvania,15108,-80.1842,40.4916,,2009-01-01T00:00:00Z
1000563,"Town of West Point, Virginia",1000 Chelsea Road,West Point,King William,Virginia,23181,-76.793868,37.538998,,2016-07-03T02:29:18Z
1005086,Athens Farmers Market,1000 East State Street,Athens,Athens,Ohio,45701,-82.0584387,39.3359163,,2016-11-07T11:28:41Z
1007498,Stamford - High RidgeFarmers' Market,1000 High Ridge Road,Stamford,Fairfield,Connecticut,06901,-73.5483,41.1057,,2009-01-01T00:00:00Z
1012433,Glasgow Farmers Market,1000 Kanawha ST,Glasgow,Rockbridge,Virginia,24555,-79.452075,37.629239,,2016-11-07T01:15:03Z
1011183,Shrewsbury Farmers Market,1000 Main St,Shrewsbury,Worcester,Massachusetts,01545,-71.682731,42.302206,,2016-05-07T12:41:34Z
1010400,Cooper Young Community Farmers Market,1000 S Cooper St,Memphis,Shelby,Tennessee,38104,-89.990683,35.1188424,Private business parking lot,2014-05-08T10:18:09Z
